2025-03-30 20:26:40,078 SSD INFO: Using 1 GPUs
2025-03-30 20:26:40,078 SSD INFO: Namespace(config_file='configs/vgg_ssd300_pipes.yaml', local_rank=0, log_step=10, save_step=2500, eval_step=2500, use_tensorboard=True, skip_test=False, opts=[], distributed=False, num_gpus=1)
2025-03-30 20:26:40,078 SSD INFO: Loaded configuration file configs/vgg_ssd300_pipes.yaml
2025-03-30 20:26:40,078 SSD INFO: 
MODEL:
  NUM_CLASSES: 2  # 2 klasy: tło + rury

DATASETS:
  TRAIN: ("train",)  # Nazwa Twojego zbioru treningowego
  TEST: ("val",)     # Nazwa Twojego zbioru walidacyjnego

INPUT:
  IMAGE_SIZE: 300

SOLVER:
  BATCH_SIZE: 2  # Jeśli masz dużo pamięci GPU, zwiększ do 2 lub 4
  MAX_ITER: 6800  # 100 epok dla 68 obrazów
  LR: 0.0001
  LR_STEPS: [4000, 6000]  # Dostosuj kroki LR do nowego MAX_ITER (np. 60% i 90%)
  WARMUP_ITERS: 100

OUTPUT_DIR: "outputs/pipes"  # Gdzie zapisywać wyniki
2025-03-30 20:26:40,089 SSD INFO: Running with config:
DATASETS:
  TEST: ('val',)
  TRAIN: ('train',)
DATA_LOADER:
  NUM_WORKERS: 8
  PIN_MEMORY: True
INPUT:
  IMAGE_SIZE: 300
  PIXEL_MEAN: [123, 117, 104]
MODEL:
  BACKBONE:
    NAME: vgg
    OUT_CHANNELS: (512, 1024, 512, 256, 256, 256)
    PRETRAINED: True
  BOX_HEAD:
    NAME: SSDBoxHead
    PREDICTOR: SSDBoxPredictor
  CENTER_VARIANCE: 0.1
  DEVICE: cuda
  META_ARCHITECTURE: SSDDetector
  NEG_POS_RATIO: 3
  NUM_CLASSES: 2
  PRIORS:
    ASPECT_RATIOS: [[2], [2, 3], [2, 3], [2, 3], [2], [2]]
    BOXES_PER_LOCATION: [4, 6, 6, 6, 4, 4]
    CLIP: True
    FEATURE_MAPS: [38, 19, 10, 5, 3, 1]
    MAX_SIZES: [60, 111, 162, 213, 264, 315]
    MIN_SIZES: [30, 60, 111, 162, 213, 264]
    STRIDES: [8, 16, 32, 64, 100, 300]
  SIZE_VARIANCE: 0.2
  THRESHOLD: 0.5
OUTPUT_DIR: outputs/pipes
SOLVER:
  BATCH_SIZE: 2
  GAMMA: 0.1
  LR: 0.0001
  LR_STEPS: [4000, 6000]
  MAX_ITER: 6800
  MOMENTUM: 0.9
  WARMUP_FACTOR: 0.3333333333333333
  WARMUP_ITERS: 100
  WEIGHT_DECAY: 0.0005
TEST:
  BATCH_SIZE: 10
  CONFIDENCE_THRESHOLD: 0.01
  MAX_PER_CLASS: -1
  MAX_PER_IMAGE: 100
  NMS_THRESHOLD: 0.45
2025-03-30 20:26:40,354 SSD.trainer INFO: No checkpoint found.
2025-03-30 20:26:40,363 SSD.trainer INFO: Start training ...
2025-03-30 20:26:48,973 SSD.trainer INFO: iter: 000010, lr: 0.00004, total_loss: 17.749 (17.749), reg_loss: 7.349 (7.349), cls_loss: 10.400 (10.400), time: 0.851 (0.851), eta: 1:36:17
2025-03-30 20:26:50,613 SSD.trainer INFO: iter: 000020, lr: 0.00005, total_loss: 17.197 (17.473), reg_loss: 7.337 (7.343), cls_loss: 9.861 (10.130), time: 0.164 (0.507), eta: 0:57:20
2025-03-30 20:26:52,246 SSD.trainer INFO: iter: 000030, lr: 0.00005, total_loss: 15.739 (16.895), reg_loss: 6.664 (7.117), cls_loss: 9.075 (9.779), time: 0.163 (0.393), eta: 0:44:18
2025-03-30 20:26:53,858 SSD.trainer INFO: iter: 000040, lr: 0.00006, total_loss: 15.299 (16.496), reg_loss: 6.298 (6.912), cls_loss: 9.001 (9.584), time: 0.161 (0.335), eta: 0:37:43
2025-03-30 20:26:55,482 SSD.trainer INFO: iter: 000050, lr: 0.00007, total_loss: 14.820 (16.161), reg_loss: 5.530 (6.636), cls_loss: 9.290 (9.525), time: 0.162 (0.300), eta: 0:33:47
2025-03-30 20:26:57,098 SSD.trainer INFO: iter: 000060, lr: 0.00007, total_loss: 14.779 (15.931), reg_loss: 6.473 (6.609), cls_loss: 8.306 (9.322), time: 0.162 (0.277), eta: 0:31:08
2025-03-30 20:26:58,711 SSD.trainer INFO: iter: 000070, lr: 0.00008, total_loss: 16.330 (15.988), reg_loss: 7.557 (6.744), cls_loss: 8.774 (9.244), time: 0.161 (0.261), eta: 0:29:14
2025-03-30 20:27:00,336 SSD.trainer INFO: iter: 000080, lr: 0.00009, total_loss: 15.863 (15.972), reg_loss: 7.774 (6.873), cls_loss: 8.089 (9.099), time: 0.163 (0.248), eta: 0:27:49
2025-03-30 20:27:01,975 SSD.trainer INFO: iter: 000090, lr: 0.00009, total_loss: 12.957 (15.637), reg_loss: 5.403 (6.710), cls_loss: 7.554 (8.928), time: 0.164 (0.239), eta: 0:26:43
2025-03-30 20:27:03,606 SSD.trainer INFO: iter: 000100, lr: 0.00010, total_loss: 13.211 (15.395), reg_loss: 5.341 (6.573), cls_loss: 7.870 (8.822), time: 0.163 (0.231), eta: 0:25:50
2025-03-30 20:27:05,243 SSD.trainer INFO: iter: 000110, lr: 0.00010, total_loss: 13.315 (15.206), reg_loss: 6.022 (6.523), cls_loss: 7.293 (8.683), time: 0.164 (0.225), eta: 0:25:07
2025-03-30 20:27:06,860 SSD.trainer INFO: iter: 000120, lr: 0.00010, total_loss: 12.129 (14.949), reg_loss: 5.279 (6.419), cls_loss: 6.850 (8.530), time: 0.162 (0.220), eta: 0:24:29
2025-03-30 20:27:08,486 SSD.trainer INFO: iter: 000130, lr: 0.00010, total_loss: 12.758 (14.781), reg_loss: 6.143 (6.398), cls_loss: 6.616 (8.383), time: 0.163 (0.216), eta: 0:23:57
2025-03-30 20:27:10,117 SSD.trainer INFO: iter: 000140, lr: 0.00010, total_loss: 11.025 (14.512), reg_loss: 4.235 (6.243), cls_loss: 6.790 (8.269), time: 0.163 (0.212), eta: 0:23:30
2025-03-30 20:27:11,737 SSD.trainer INFO: iter: 000150, lr: 0.00010, total_loss: 11.607 (14.319), reg_loss: 5.184 (6.173), cls_loss: 6.423 (8.146), time: 0.162 (0.208), eta: 0:23:06
2025-03-30 20:27:13,376 SSD.trainer INFO: iter: 000160, lr: 0.00010, total_loss: 12.070 (14.178), reg_loss: 5.719 (6.144), cls_loss: 6.351 (8.034), time: 0.164 (0.206), eta: 0:22:45
2025-03-30 20:27:15,016 SSD.trainer INFO: iter: 000170, lr: 0.00010, total_loss: 11.440 (14.017), reg_loss: 5.188 (6.088), cls_loss: 6.251 (7.929), time: 0.164 (0.203), eta: 0:22:27
2025-03-30 20:27:16,649 SSD.trainer INFO: iter: 000180, lr: 0.00010, total_loss: 11.308 (13.867), reg_loss: 5.233 (6.041), cls_loss: 6.075 (7.826), time: 0.163 (0.201), eta: 0:22:10
2025-03-30 20:27:18,279 SSD.trainer INFO: iter: 000190, lr: 0.00010, total_loss: 11.239 (13.728), reg_loss: 5.323 (6.003), cls_loss: 5.915 (7.725), time: 0.163 (0.199), eta: 0:21:55
2025-03-30 20:27:19,924 SSD.trainer INFO: iter: 000200, lr: 0.00010, total_loss: 10.736 (13.579), reg_loss: 5.880 (5.997), cls_loss: 4.857 (7.582), time: 0.164 (0.197), eta: 0:21:42
2025-03-30 20:27:21,571 SSD.trainer INFO: iter: 000210, lr: 0.00010, total_loss: 12.198 (13.513), reg_loss: 7.006 (6.045), cls_loss: 5.192 (7.468), time: 0.165 (0.196), eta: 0:21:29
2025-03-30 20:27:23,209 SSD.trainer INFO: iter: 000220, lr: 0.00010, total_loss: 14.116 (13.540), reg_loss: 8.558 (6.159), cls_loss: 5.559 (7.381), time: 0.164 (0.194), eta: 0:21:18
2025-03-30 20:27:24,848 SSD.trainer INFO: iter: 000230, lr: 0.00010, total_loss: 9.846 (13.380), reg_loss: 4.849 (6.102), cls_loss: 4.997 (7.278), time: 0.164 (0.193), eta: 0:21:07
2025-03-30 20:27:26,484 SSD.trainer INFO: iter: 000240, lr: 0.00010, total_loss: 9.547 (13.220), reg_loss: 4.878 (6.051), cls_loss: 4.669 (7.169), time: 0.164 (0.192), eta: 0:20:57
2025-03-30 20:27:28,120 SSD.trainer INFO: iter: 000250, lr: 0.00010, total_loss: 11.280 (13.142), reg_loss: 6.531 (6.070), cls_loss: 4.749 (7.072), time: 0.164 (0.191), eta: 0:20:48
2025-03-30 20:27:29,767 SSD.trainer INFO: iter: 000260, lr: 0.00010, total_loss: 8.562 (12.966), reg_loss: 3.972 (5.990), cls_loss: 4.591 (6.977), time: 0.165 (0.190), eta: 0:20:40
2025-03-30 20:27:31,409 SSD.trainer INFO: iter: 000270, lr: 0.00010, total_loss: 10.347 (12.869), reg_loss: 5.811 (5.983), cls_loss: 4.535 (6.886), time: 0.164 (0.189), eta: 0:20:32
2025-03-30 20:27:33,051 SSD.trainer INFO: iter: 000280, lr: 0.00010, total_loss: 8.031 (12.696), reg_loss: 3.699 (5.901), cls_loss: 4.332 (6.795), time: 0.164 (0.188), eta: 0:20:24
